—ёг «бЎ«б»;«”г «бЎ«б»;«б’Ё;«б‘Џ»…;«”г жбн «б«г—;—ёг жбн «б«г—;«бћд”
1078;«”«г… «дж— Џбн »д Џбн;7;ћ;;777888078;1
1079;«”«г… ћб«б «Ќгѕ ”«бг –н»«д;8;ѕ;;777888079;1
1080;»дѕ— «Ќгѕ Џбн гЌгѕ «б«ѕ—н”н;9;√;;777888080;1
1081;»дѕ— Ќ”нд ’«бЌ «бЌѕ«ѕ;10;»;;777888081;1
1082;»дѕ— ќ«бѕ »ѕ— Џг— »д ге—н;11;ћ;;777888082;1
1083;»дѕ— ”Џнѕ «Ќгѕ »д «Ќгѕ;12;ѕ;;777888083;1
1084;»дѕ— Џ»ѕ«ббе ’«бЌ Џбн;1;√;;777888084;1
1085;»дѕ— Џбн «Ќгѕ дЏг«д «бг‘жбн;2;»;;777888085;1
1086;»дѕ— Џбн ё«∆ѕ Џ»ѕ«ббе;3;ћ;;777888086;1
1087;»дѕ— Џг— Џжн÷«д Џ»нѕ »«—»жѕ;4;ѕ;;777888087;1
1088;»дѕ— Џнѕ—ж” д«’— нЌнм;5;√;;777888088;1
1089;»дѕ— Ён’б Џг— д«’— бЌжб;6;»;;777888089;1
1090;Ў«—ё √Ќгѕ д«ћн Џ»«ѕн;7;ћ;;777888090;1
1091;Ў«—ё ≈»—«енг ”«бг Џбн »«Џ»«ѕ;8;ѕ;;777888091;1
1092;Ў«—ё «Ќгѕ ”«бг д«’—;9;√;;777888092;1
1093;Ў«—ё «Ќгѕ ”Џнѕ ”«бг »«»Џн—;10;»;;777888093;1
1094;Ў«—ё «Ќгѕ ”Џнѕ Џж÷ «бгд’ж—н;11;ћ;;777888094;1
1095;Ў«—ё «Ќгѕ Џж÷ «»ж»я—;12;ѕ;;777888095;1
1096;Ў«—ё «Ќгѕ гЌгѕ Џбн «бё—гнг;1;√;;777888096;1
1097;Ў«—ё «Ќгѕ д«’— ќгн” ”днѕ;2;»;;777888097;1
1098;Ў«—ё «”г«Џнб гЌгѕ д«’—;3;ћ;;777888098;1
1099;Ў«—ё «бќ÷— д«’— гЌгѕ;4;ѕ;;777888099;1
1100;«гнд «Ќгѕ ћ«“Џ «Ќгѕ д«’—;5;√;;777888100;1
1101;«гнд «Ќгѕ Ќ”нд «Ќгѕ «бдћ«—;6;»;;777888101;1
1102;«гнд ћг«б ’«бЌ д«ћн;7;ћ;;777888102;1
1103;«гнд ћг«б гЌгѕ «Ќгѕ «бг—Ќжбн;8;ѕ;;777888103;1
1104;«гнд Ќ«‘ѕ г”Џѕ Џ»ѕ«ббе;9;√;;777888104;1
1105;«гнд Ќ«Ёў «Ќгѕ «б’н«ѕн;10;»;;777888105;1
1106;«гнд ќ«бѕ Џ»ѕе гя—ѕ;11;ћ;;777888106;1
1107;«гнд ќ«бѕ гЌгѕ Џбн;12;ѕ;;777888107;1
1108;«гнд —«гн џ«“н гЌгѕ «бЏ—нён;1;√;;777888108;1
1109;«гнд ”«бг «Ќгѕ ’«бЌ д”—;2;»;;777888109;1
1110;Џ»ѕ√Ќгѕ Џбн Ќд‘;3;ћ;;777888110;1
1111;Џ»ѕ«б«бе ќ«бѕ «Ќгѕ Ё«÷б;4;ѕ;;777888111;1
1112;Џ»ѕ«б»«—н ”«бг Џ»ѕ«б»«—н »«я—;5;√;;777888112;1
1113;Џ»ѕ«б»«—н Џ»ѕ«бЏбнг Џбн д«’—;6;»;;777888113;1
1114;Џ»ѕ«б»«—н гЌ”д Џ»ѕ«ббе Џ»ѕ«бб«е;7;ћ;;777888114;1
1115;Џ»ѕ«б»«”Ў «Ќгѕ Џбн Џбн;8;ѕ;;777888115;1
1116;Џ»ѕ«б»«”Ў «ѕг г”Џѕ Ќнѕ—…;9;√;;777888116;1
1117;Џ»ѕ«б»«”Ў ”нЁ д«’— Џ»ѕ«бёжн;10;»;;777888117;1
1118;Џ»ѕ«б»«”Ў гЌгѕ Џ»ѕ«ббе ’«бЌ;11;ћ;;777888118;1
1119;Џ»ѕ«б»«”Ў гЌгѕ гЋдм «бдћ«—;12;ѕ;;777888119;1
1120;Џ»ѕ«ббе √Ќгѕ √Ќгѕ г”Џѕ «б”д»«дн;1;√;;777888120;1
1121;Џ»ѕ«ббе √Ќгѕ ”«бг г’ж—;2;»;;777888121;1
1122;Џ»ѕ«ббе √Ќгѕ ”Џнѕ Џ»ѕ«ббе »«гћ»ж—;3;ћ;;777888122;1
1123;Џ»ѕ«ббе √Ќгѕ Џ»ѕ«бя—нг √Ќгѕ «бн“нѕн;4;ѕ;;777888123;1
1124;Џ»ѕ«ббе √Ќгѕ Џ»ѕ«ббе √Ќгѕ «бЏ”н—н;5;√;;777888124;1
1125;Џ»ѕ«ббе √Ќгѕ Џ»ѕ«ббе «бг‘»н;6;»;;777888125;1
1126;Џ»ѕ«ббе √Ќгѕ Џ»ѕ«ббе »«Ў«е—;7;ћ;;777888126;1
1127;Џ»ѕ«ббе √Ќгѕ Џ»ѕ«ббе гЌгѕ;8;ѕ;;777888127;1
1128;Џ»ѕ«ббе √Ќгѕ ЏЋг«д ’«бЌ «б≈ѕ—н”н;9;√;;777888128;1
1129;Џ»ѕ«ббе √Ќгѕ Ё«—Џ гЌгѕ;10;»;;777888129;1
1130;Џ»ѕ«ббе √»ж»я— ЏЋг«д Џ»ѕ«ббе »«жћне;11;ћ;;777888130;1
1131;Џ»ѕ«ббе √Ќгѕ «бЏ»ѕгЌ”д;12;ѕ;;777888131;1
1132;Џ»ѕ«ббе √Ќгѕ »—я«  Џ»ѕ«ббе »«ж“н—;1;√;;777888132;1
1133;Џ»ѕ«ббе √Ќгѕ ћгЏ«д гЌгѕ »«“н«ѕ;2;»;;777888133;1
1134;Џ»ѕ«ббе √Ќгѕ ќн—«ббе ”дѕ ёг“«жн;3;ћ;;777888134;1
1135;Џ»ѕ«ббе √Ќгѕ ”«бг ’«бЌ;4;ѕ;;777888135;1
1136;Џ»ѕ«ббе √Ќгѕ ”«бг г»—жя «бяж—ѕн;5;√;;777888136;1
1137;Џ»ѕ«ббе √Ќгѕ ”«бг гЌгѕ »«—√”;6;»;;777888137;1
1138;Џ»ѕ«ббе √Ќгѕ ”Џнѕ Џ»ѕ«б—» «бЌжЋ—н;7;ћ;;777888138;1
1139;Џ»ѕ«ббе √Ќгѕ ’«бЌ «Ќгѕ «бён”н;8;ѕ;;777888139;1
1140;жбнѕ «Ќгѕ ”«бг я—н«д;9;√;;777888140;1
1141;жбнѕ «Ќгѕ ’«бЌ ”нЁ «б’н’…;10;»;;777888141;1
1142;жбнѕ «Ќгѕ Џ»ѕ«ббе Ќ”д »«’«бЌ;11;ћ;;777888142;1
1143;жбнѕ «Ќгѕ Џ»ѕе «Ќгѕ;12;ѕ;;777888143;1
1144;жбнѕ «Ќгѕ гЌгѕ «Ќгѕ;1;√;;777888144;1
1145;жбнѕ «б»«“ ќ«бѕ гЌгѕ Џбн;2;»;;777888145;1
1146;жбнѕ «бќ÷— Ќ”нд ЏЁнЁ;3;ћ;;777888146;1
1147;жбнѕ «бќ÷— г”Џжѕ Џбн;4;ѕ;;777888147;1
1148;жбнѕ «б‘«Ў—н Џ»ѕ«ббе гЌгѕ «бћднѕн;5;√;;777888148;1
1149;жбнѕ  жЁнё ќ«бѕ «бг»н÷нд;6;»;;777888149;1
